Name,Team,GP,,G,,A,,Pts,,+/-,,PIM,,Hits,,BkS,,FW,,FL,,FO%,,PPG,,PPA,,SHG,,SHA,,GW,,SOG,,Pct,
 Jaden Schwartz,STL,15,,6,,3,,9,,1,,4,,13,,12,,27,,25,,0.519,,1,,0,,0,,0,,2,,34,,0.176,
 Teuvo Teravainen,CAR,16,,5,,4,,9,,-3,,0,,6,,3,,9,,18,,0.333,,1,,2,,0,,0,,1,,28,,0.179,
 Vladislav Namestnikov,TAM,19,,3,,6,,9,,3,,8,,8,,7,,33,,45,,0.423,,2,,3,,0,,0,,0,,32,,0.094,
 Keith Yandle,FLA,18,,0,,9,,9,,2,,14,,8,,22,,0,,0,,N/A,,0,,3,,0,,0,,0,,47,,0,
 Rickard Rakell,ANA,9,,5,,4,,9,,2,,0,,18,,5,,10,,8,,0.556,,0,,2,,0,,0,,2,,24,,0.208,
 Andrew Cogliano,ANA,18,,5,,4,,9,,6,,8,,17,,10,,1,,5,,0.167,,0,,0,,2,,0,,0,,39,,0.128,
 Ryan O'Reilly,BUF,13,,4,,5,,9,,0,,4,,1,,5,,187,,122,,0.605,,2,,3,,0,,0,,1,,43,,0.093,
 Phillip Danault,MON,19,,5,,4,,9,,1,,4,,17,,18,,56,,55,,0.505,,0,,0,,0,,0,,1,,28,,0.179,
 Brad Richardson,ARI,16,,5,,4,,9,,-1,,15,,19,,7,,121,,109,,0.526,,0,,0,,2,,1,,0,,25,,0.2,
 Alex Pietrangelo,STL,19,,3,,5,,8,,-9,,12,,13,,37,,0,,0,,N/A,,1,,2,,0,,0,,1,,46,,0.065,
 Jay Beagle,WAS,17,,4,,4,,8,,6,,2,,10,,7,,115,,78,,0.596,,0,,0,,1,,1,,2,,26,,0.154,
 Roman Josi,NAS,17,,2,,6,,8,,-4,,4,,11,,30,,0,,0,,N/A,,1,,4,,0,,0,,0,,50,,0.04,
 Josh Bailey,NYI,17,,2,,6,,8,,1,,0,,8,,15,,4,,3,,0.571,,0,,1,,0,,0,,1,,30,,0.067,
 Jake Gardiner,TOR,18,,3,,5,,8,,3,,6,,15,,15,,0,,0,,N/A,,1,,1,,0,,0,,0,,26,,0.115,
 Nino Niederreiter,MIN,17,,4,,4,,8,,8,,4,,26,,2,,0,,1,,0,,0,,0,,0,,0,,0,,29,,0.138,
 Oliver Ekman-Larsson,ARI,17,,5,,3,,8,,-2,,6,,29,,16,,0,,0,,N/A,,2,,1,,0,,0,,1,,42,,0.119,
 Matt Moulson,BUF,18,,6,,2,,8,,-2,,2,,11,,8,,0,,0,,N/A,,5,,2,,0,,0,,0,,46,,0.13,
 Jason Demers,FLA,18,,2,,6,,8,,-3,,6,,15,,17,,0,,0,,N/A,,0,,3,,0,,1,,0,,19,,0.105,
 Sean Couturier,PHI,19,,5,,3,,8,,-5,,14,,13,,14,,160,,167,,0.489,,0,,1,,0,,1,,1,,30,,0.167,
 Anze Kopitar,LOS,15,,2,,6,,8,,1,,2,,19,,11,,194,,178,,0.522,,0,,2,,0,,1,,0,,37,,0.054,
 William Karlsson,COB,15,,3,,5,,8,,4,,2,,6,,3,,90,,112,,0.446,,0,,0,,0,,1,,1,,24,,0.125,
 Brian Campbell,CHI,19,,2,,6,,8,,4,,6,,14,,18,,0,,0,,N/A,,1,,2,,0,,0,,0,,20,,0.1,
 Pavel Buchnevich,NYR,10,,4,,4,,8,,4,,4,,3,,3,,0,,1,,0,,1,,2,,0,,0,,0,,18,,0.222,
 Matt Niskanen,WAS,17,,0,,8,,8,,3,,6,,23,,24,,0,,0,,N/A,,0,,0,,0,,1,,0,,31,,0,
 Dennis Seidenberg,NYI,15,,4,,4,,8,,10,,12,,18,,38,,0,,0,,N/A,,0,,0,,0,,0,,0,,18,,0.222,
